山口銀行,地銀,対応する,2018年度上期,2018年度下期,検討中,検討中,https://www.yamaguchibank.co.jp/other/cooperation,
阿波銀行,地銀,対応する,2019年3月,検討中,検討中,検討中,http://www.awabank.co.jp/policy/denshidaiko/,
百十四銀行,地銀,対応する,2019年3月,検討中,2019年3月,検討中,http://www.114bank.co.jp/houshin/houshin04.html,
伊予銀行,地銀,対応する,2018年7月,2018年7月,-,-,http://www.iyobank.co.jp/collaboration.html,
四国銀行,地銀,対応する,2019年4月,2019年4月,2019年4月,2019年4月,http://www.shikokubank.co.jp/profile/open_api.html,
福岡銀行,地銀,対応する,2018年9月,2020年春,2018年6月,2018年6月,https://www.fukuokabank.co.jp/idc/groups/f9999/documents/pdf/idc_051139.pdf,
筑邦銀行,地銀,対応する,検討中,検討中,検討中,検討中,https://www.chikugin.co.jp/about/collaboration/,
佐賀銀行,地銀,対応する,2020年春頃,検討中,2020年春頃,検討中,http://www.sagabank.co.jp/outline/denshikessai2017.pdf,
十八銀行,地銀,対応する,2019年10月,-,2019年10月,-,https://www.18bank.co.jp/aboutus/company/denshikessai-houshin.html,
親和銀行,地銀,対応する,2018年9月,2020年春,2018年6月,2018年6月,https://www.shinwabank.co.jp/idc/groups/s9999/documents/pdf/idc_051151.pdf,
肥後銀行,地銀,対応する,2018年度上期,基幹系システム更改後,2018年度上期,基幹系システム更改後,http://www.higobank.co.jp/company/information/agency.html,
大分銀行,地銀,対応する,2019年1月,2019年1月,2019年1月,2019年1月,https://www.oitabank.co.jp/policy/openapi.html,
宮崎銀行,地銀,対応する,2020年3月,検討中,2020年3月,検討中,http://www.miyagin.co.jp/pdf/denshi_kessai.pdf,
鹿児島銀行,地銀,対応する,2018年度上期,2018年度下期,検討中,検討中,https://www.kagin.co.jp/investor/20180301_225.html,
琉球銀行,地銀,対応する,2018年12月,2020年3月までに方針決定,-,-,http://www.ryugin.co.jp/information/denshikihon.html,
沖縄銀行,地銀,対応する,2018年7月,2018年7月,2018年7月,2018年7月,http://www.okinawa-bank.jp/corporate/electronic_payment.html,
西日本シティ銀行,地銀,対応する,2018年秋頃,2018年秋頃,2018年秋頃,2018年秋頃,https://www.ncbank.co.jp/corporate/denshikessai/,
北九州銀行,地銀,対応する,2018年度上期,2018年度下期,検討中,検討中,https://www.kitakyushubank.co.jp/other/cooperation,
北洋銀行,第二地銀,対応する,2018年4月,2018年4月,-,-,http://www.hokuyobank.co.jp/info/collaboration.html,
きらやか銀行,第二地銀,対応する,検討中,検討中,検討中,検討中,https://www.kirayaka.co.jp/policy/pdf/electronicaymentagent.pdf,
北日本銀行,第二地銀,対応する,2019年3月,2019年3月,検討中,検討中,http://www.kitagin.co.jp/company/information/e_payment_collaboration/,
仙台銀行,第二地銀,対応する,検討中,検討中,検討中,検討中,https://www.sendaibank.co.jp/,
福島銀行,第二地銀,対応する,2018年10月,2020年6月,2018年10月,2020年6月,http://www.fukushimabank.co.jp/press/2017/img/20180228-1.pdf,
大東銀行,第二地銀,対応する,2018年9月,2020年6月,検討中,検討中,https://www.daitobank.co.jp/site/electronic-settlement.html,
東和銀行,第二地銀,対応する,2018年10月,2020年3月,2018年10月,2019年4月,http://www.towabank.co.jp/whatsnew/DnsksiRnkiHsn.pdf,
栃木銀行,第二地銀,対応する,整備済み,"2019年3月(本人口座間の資金移動や収納資金の決済)
京葉銀行,第二地銀,対応する,整備済み,次世代勘定系システムの安定的な稼動後,次世代勘定系システムの安定的な稼動後,次世代勘定系システムの安定的な稼動後,http://www.keiyobank.co.jp/common_html/api.html,
東日本銀行,第二地銀,対応する,
東京スター銀行,第二地銀,対応する,2019年度中,検討中,2018年度上期,2018年度上期,http://www.tokyostarbank.co.jp/profile/pdf/180226.pdf,
神奈川銀行,第二地銀,対応する,2019年3月,2019年3月,2019年3月,2019年3月,http://www.kanagawabank.co.jp/public/denshi_kessai.html,
大光銀行,第二地銀,対応する,2018年9月,検討中,検討中,検討中,https://www.taikobank.jp/images/news/news_20180227.pdf,
長野銀行,第二地銀,対応する,2018年7月,2019年3月,2018年10月,2018年10月,http://www.naganobank.co.jp/site/footer/policy6.html,
富山第一銀行,第二地銀,対応する,2018年4月,2018年10月,検討中,検討中,https://www.first-bank.co.jp/policy/fintech.html,
福邦銀行,第二地銀,対応する,2019年1月,2019年3月,2019年1月,2019年3月,http://www.fukuho.co.jp/,
静岡中央銀行,第二地銀,対応する,2019年春頃,2020年春頃,検討中,検討中,https://www.shizuokachuo-bank.co.jp/pdf/release20180228.pdf,
愛知銀行,第二地銀,対応する,2018年10月,2020年4月,2018年10月,2020年4月,http://www.aichibank.co.jp/policy_api/index.html,
名古屋銀行,第二地銀,対応する,2019年3月,2022年,2019年3月,2022年,https://www.meigin.com/about/pdf/index/denshikessai-renkei.pdf,
中京銀行,第二地銀,対応する,"2018年3月(預金残高照会・預金入出金明細照会)
第三銀行,第二地銀,対応する,整備済み,2019年3月,整備済み,検討中,https://www.daisanbank.co.jp/info/api_collaboration.html,
関西アーバン銀行,第二地銀,対応する,検討中,検討中,検討中,検討中,https://www.kansaiurban.co.jp/info/20180228.html,
大正銀行,第二地銀,対応する,2019年春頃,2020年春頃,ー,ー,http://www.taishobank.co.jp/inc/pdf/upload/news/news_506_20180301_2381.pdf,
みなと銀行,第二地銀,対応する,2020年夏頃,2020年夏頃,整備済み,2020年夏頃,http://www.minatobk.co.jp/topics/news/file/1106/topics20180301.pdf,
島根銀行,第二地銀,対応する,2019年3月,2020年3月,2019年3月,2019年3月,http://www.shimagin.co.jp/foot/denshikessai.pdf,
トマト銀行,第二地銀,対応する,2018年秋頃,"2019年夏頃（本人口座間の移動・決済）
2020年5月（他人口座への資金移動・決済）",検討中,検討中,https://www.tomatobank.co.jp/policy2.html,
もみじ銀行,第二地銀,対応する,2018年度上半期,2018年度下半期,検討中,検討中,https://www.momijibank.co.jp/other/cooperation,
西京銀行,第二地銀,対応する,2020年3月,検討中,2020年3月,検討中,https://www.saikyobank.co.jp/general/policy/electronic_settlement.html,
徳島銀行,第二地銀,対応する,2019年春頃,2020年春頃,ー,ー,http://www.tokugin.co.jp/newsrelease/news2017/pdf/news_180301_2.pdf,
香川銀行,第二地銀,対応する,2019年春頃,2020年春頃,ー,ー,https://www.kagawabank.co.jp/policy/api_renkei_kyoudou.html,
愛媛銀行,第二地銀,対応する,2018年7月,2018年7月,-,-,https://www.himegin.co.jp/new_csr/20180226_1.html,
